Size,FullTime,EnqueueTime,WaitTime,BaseSize,PermIndex,Shift
[1,0]<stdout>:1048576,0.153287,0.018199,0.135108,4194304,1,2
[1,0]<stdout>:524288,0.087602,0.017995,0.069608,4194304,1,3
[1,0]<stdout>:1048576,0.507765,0.018275,0.489546,4194304,2,2
[1,0]<stdout>:524288,0.356206,0.018295,0.338554,4194304,2,3
[1,0]<stdout>:524288,0.339818,0.018258,0.321560,4194304,3,3
[1,0]<stdout>:3145728,0.345466,0.018415,0.327688,6291456,1,1
[1,0]<stdout>:1572864,0.208923,0.018244,0.191053,6291456,1,2
[1,0]<stdout>:786432,0.126659,0.018530,0.108905,6291456,1,3
[1,0]<stdout>:1572864,0.828266,0.018205,0.810061,6291456,2,2
[1,0]<stdout>:786432,0.419281,0.018606,0.400684,6291456,2,3
[1,0]<stdout>:786432,0.629730,0.018599,0.611631,6291456,3,3
[1,0]<stdout>:4194304,0.490383,0.018056,0.472402,8388608,1,1
[1,0]<stdout>:2097152,0.256620,0.018336,0.239268,8388608,1,2
[1,0]<stdout>:1048576,0.152168,0.018384,0.134073,8388608,1,3
[1,0]<stdout>:2097152,1.633620,0.018287,1.615436,8388608,2,2
[1,0]<stdout>:1048576,0.565792,0.018653,0.548208,8388608,2,3
[1,0]<stdout>:1048576,0.504606,0.018247,0.486941,8388608,3,3
[1,0]<stdout>:6291456,0.712961,0.018167,0.695378,12582912,1,1
[1,0]<stdout>:3145728,0.369029,0.018217,0.350838,12582912,1,2
[1,0]<stdout>:1572864,0.203812,0.018622,0.185310,12582912,1,3
[1,0]<stdout>:3145728,1.229349,0.018229,1.211247,12582912,2,2
[1,0]<stdout>:1572864,1.028111,0.017835,1.010276,12582912,2,3
[1,0]<stdout>:1572864,1.530149,0.018761,1.512911,12582912,3,3
[1,0]<stdout>:8388608,0.923691,0.018285,0.905530,16777216,1,1
[1,0]<stdout>:4194304,0.482362,0.020104,0.463809,16777216,1,2
[1,0]<stdout>:2097152,0.269150,0.018041,0.251811,16777216,1,3
[1,0]<stdout>:4194304,1.112258,0.018080,1.095066,16777216,2,2
[1,0]<stdout>:2097152,1.353108,0.018396,1.335759,16777216,2,3
[1,0]<stdout>:2097152,1.560800,0.018314,1.543085,16777216,3,3
[1,0]<stdout>:12582912,2.064897,0.018465,2.046874,25165824,1,1
[1,0]<stdout>:6291456,0.662698,0.018327,0.645281,25165824,1,2
[1,0]<stdout>:3145728,0.345315,0.018270,0.327572,25165824,1,3
[1,0]<stdout>:6291456,1.545415,0.019896,1.526624,25165824,2,2
[1,0]<stdout>:3145728,0.826074,0.018003,0.808970,25165824,2,3
[1,0]<stdout>:3145728,1.578742,0.018095,1.560647,25165824,3,3
[1,0]<stdout>:16777216,2.446841,0.018112,2.429256,33554432,1,1
[1,0]<stdout>:8388608,0.906871,0.018227,0.888645,33554432,1,2
[1,0]<stdout>:4194304,0.484305,0.017859,0.466445,33554432,1,3
[1,0]<stdout>:8388608,1.981661,0.018164,1.963654,33554432,2,2
[1,0]<stdout>:4194304,2.248728,0.018365,2.231094,33554432,2,3
[1,0]<stdout>:4194304,1.876672,0.018328,1.858640,33554432,3,3
[1,0]<stdout>:25165824,2.792530,0.018262,2.774601,50331648,1,1
[1,0]<stdout>:12582912,1.403258,0.018390,1.385118,50331648,1,2
[1,0]<stdout>:6291456,0.678495,0.018233,0.660456,50331648,1,3
[1,0]<stdout>:12582912,2.936878,0.018488,2.919515,50331648,2,2
[1,0]<stdout>:6291456,4.864179,0.018272,4.846446,50331648,2,3
[1,0]<stdout>:6291456,2.763025,0.018166,2.745522,50331648,3,3
[1,0]<stdout>:33554432,3.652703,0.018409,3.634691,67108864,1,1
[1,0]<stdout>:16777216,1.655990,0.018124,1.638195,67108864,1,2
[1,0]<stdout>:8388608,0.999127,0.019910,0.981639,67108864,1,3
[1,0]<stdout>:16777216,3.811208,0.020167,3.793180,67108864,2,2
[1,0]<stdout>:8388608,1.906115,0.018193,1.888731,67108864,2,3
[1,0]<stdout>:8388608,3.682956,0.018238,3.664942,67108864,3,3
[1,0]<stdout>:50331648,5.705039,0.018251,5.686788,100663296,1,1
[1,0]<stdout>:25165824,2.923193,0.018645,2.905020,100663296,1,2
[1,0]<stdout>:12582912,1.580476,0.018098,1.562905,100663296,1,3
[1,0]<stdout>:25165824,5.790087,0.018435,5.772259,100663296,2,2
[1,0]<stdout>:12582912,2.839152,0.018244,2.821808,100663296,2,3
[1,0]<stdout>:12582912,6.182978,0.018113,6.165529,100663296,3,3
[1,0]<stdout>:67108864,8.240796,0.019106,8.221690,134217728,1,1
[1,0]<stdout>:33554432,4.335657,0.018744,4.317761,134217728,1,2
[1,0]<stdout>:16777216,1.904828,0.018165,1.886663,134217728,1,3
[1,0]<stdout>:33554432,7.829161,0.018317,7.811653,134217728,2,2
[1,0]<stdout>:16777216,3.786351,0.018200,3.768762,134217728,2,3
[1,0]<stdout>:16777216,7.119321,0.018193,7.101606,134217728,3,3
[1,0]<stdout>:100663296,9.954830,0.018634,9.936529,201326592,1,1
[1,0]<stdout>:50331648,5.306091,0.018352,5.288001,201326592,1,2
[1,0]<stdout>:25165824,3.475861,0.017928,3.457932,201326592,1,3
[1,0]<stdout>:50331648,11.054616,0.018108,11.037407,201326592,2,2
[1,0]<stdout>:25165824,5.782248,0.018201,5.764435,201326592,2,3
[1,0]<stdout>:25165824,10.497536,0.017913,10.479761,201326592,3,3
[1,0]<stdout>:134217728,12.917888,0.018252,12.899747,268435456,1,1
[1,0]<stdout>:67108864,7.047320,0.018641,7.028679,268435456,1,2
[1,0]<stdout>:33554432,4.054736,0.018302,4.037526,268435456,1,3
[1,0]<stdout>:67108864,15.255111,0.018136,15.237334,268435456,2,2
[1,0]<stdout>:33554432,7.557960,0.017953,7.540142,268435456,2,3
[1,0]<stdout>:33554432,14.127064,0.018428,14.109332,268435456,3,3
[1,0]<stdout>:201326592,19.176531,0.023312,19.158905,402653184,1,1
[1,0]<stdout>:100663296,12.866205,0.018173,12.848999,402653184,1,2
[1,0]<stdout>:50331648,7.064733,0.018054,7.046931,402653184,1,3
[1,0]<stdout>:100663296,22.168388,0.018991,22.150441,402653184,2,2
[1,0]<stdout>:50331648,11.003873,0.018380,10.985493,402653184,2,3
[1,0]<stdout>:50331648,22.262943,0.018254,22.244867,402653184,3,3
[1,0]<stdout>:268435456,25.675194,0.018436,25.657374,536870912,1,1
[1,0]<stdout>:134217728,13.532119,0.019556,13.512563,536870912,1,2
[1,0]<stdout>:67108864,7.567242,0.018124,7.549889,536870912,1,3
[1,0]<stdout>:134217728,28.897393,0.018204,28.879321,536870912,2,2
[1,0]<stdout>:67108864,14.486650,0.018432,14.469393,536870912,2,3
[1,0]<stdout>:67108864,28.732189,0.018279,28.714180,536870912,3,3
[1,0]<stdout>:402653184,38.380508,0.018165,38.363016,805306368,1,1
[1,0]<stdout>:201326592,19.267523,0.018355,19.249712,805306368,1,2
[1,0]<stdout>:100663296,10.226632,0.018058,10.208655,805306368,1,3
[1,0]<stdout>:201326592,47.083545,0.021753,47.062514,805306368,2,2
[1,0]<stdout>:100663296,36.548211,0.018262,36.530642,805306368,2,3
[1,0]<stdout>:100663296,41.709722,0.020800,41.689579,805306368,3,3
[1,0]<stdout>:536870912,50.884439,0.021374,50.863623,1073741824,1,1
[1,0]<stdout>:268435456,25.524312,0.018287,25.507132,1073741824,1,2
[1,0]<stdout>:134217728,12.913027,0.018175,12.895127,1073741824,1,3
[1,0]<stdout>:268435456,57.924717,0.018518,57.907442,1073741824,2,2
